2.81494	2.30935	4.3084	6.44973	6.05978	3.94747	3.09209
2.89628	2.5182	5.07076	6.44084	5.95032	3.92351	3.00059
2.92682	2.56662	5.86265	6.94522	6.21141	3.94289	2.90168
2.87283	2.39069	6.20057	7.38955	6.94372	4.04202	2.96061
2.70524	2.16895	4.77617	6.63468	6.75641	4.31643	3.03355
2.73555	2.38094	4.92056	6.70886	6.52107	4.4525	3.08671
2.80127	2.58451	5.23439	6.77308	6.20863	4.26466	3.16903
2.8445	2.61911	5.66048	7.16775	6.71222	4.11727	3.12408
2.82084	2.42779	4.64665	6.3362	6.37895	4.20956	3.00618
2.82047	2.40932	4.25435	6.09346	6.02973	4.2627	3.00848
2.94419	2.6938	5.38057	6.29926	5.76926	4.21648	3.05164
2.91954	2.68901	5.84557	6.7988	6.16775	4.17315	3.054
2.80316	2.568	5.47441	6.77187	6.51312	4.22988	3.0545
2.78039	2.48669	4.92953	6.46172	6.39307	4.28268	3.09144
2.71953	2.25114	4.67242	6.28791	6.12025	4.33741	3.11018
2.77669	2.30442	4.81603	6.22845	5.75149	4.43826	3.09201
2.74517	2.20429	4.49122	6.2093	5.95841	4.5411	3.13733
2.80952	2.45931	5.24119	6.60332	6.05776	4.53151	3.20093
2.78057	2.44961	5.42362	6.43329	5.90165	4.47656	3.20975
2.80081	2.33028	5.34694	6.46634	6.00785	4.49099	3.19407
2.81223	2.35023	5.99075	7.05477	6.51399	4.45315	3.22131
2.79403	2.23658	5.14628	6.86512	6.74129	4.46976	3.26906
2.75389	2.18874	4.8522	6.22987	6.30657	4.48365	3.2597
2.71183	2.1773	5.06452	6.4642	6.24479	4.47513	3.22835
2.71247	2.19559	5.01014	6.61615	6.29123	4.41565	3.20992
2.73387	2.14188	5.34781	7.03996	6.63005	4.39491	3.1959
2.71895	2.15075	5.28239	7.09228	6.82118	4.40291	3.14606
2.72535	2.21949	5.28088	6.79156	6.51596	4.3861	3.16404
2.72798	2.21939	5.29688	6.69845	6.54092	4.29158	3.1649
2.69671	2.26929	5.08636	6.62307	6.28251	4.3039	2.99451
2.69393	2.29014	5.4481	6.93314	6.45184	4.31011	2.97659
2.70773	2.25549	5.02988	6.78829	6.50622	4.24123	2.91531
2.70788	2.23277	4.85082	6.4412	6.12945	4.27451	2.785
2.68782	2.18316	5.01974	6.70952	6.40899	4.40888	2.81098
2.71805	2.15402	4.48983	6.07752	6.00091	4.46383	2.85872
2.71783	2.24595	4.66346	6.01442	5.77644	4.39315	2.91194
2.75172	2.42673	5.01073	6.29352	5.79478	4.33209	2.99009
2.7511	2.40513	4.72325	6.30448	6.07195	4.22204	3.00371
2.69838	2.32369	4.72774	6.31251	6.17421	4.12103	2.99359
2.72934	2.37414	4.21296	5.9328	5.85925	4.24843	2.97755
2.69748	2.31234	4.47437	6.02031	5.70884	4.33726	3.04431
2.73036	2.35876	4.97405	6.73103	6.15619	4.30769	3.08969
